time:1150938620674Acc:nullGyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:3777545279609Acc:[0.48692322, 5.1607056, 8.112747]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:3777608847724Acc:[0.6305847, 5.242111, 8.356964]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:3777672415840Acc:[0.18525696, 5.055359, 9.247604]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:3777736044990Acc:[-0.18824768, 4.8590393, 9.003403]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:3777799643623Acc:[0.5731201, 3.8630524, 8.740036]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:3777863211738Acc:[0.6114197, 3.7337646, 8.931564]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:3777913565742Acc:[0.6114197, 3.7337646, 8.931564]Gyro:nullMag:nullPre:nullrot:[0.2562229, -0.05812594, -0.16896443, 0.94995904, 0.0]Mot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:3779389365303Acc:[0.10864258, 4.4568176, 8.859741]Gyro:[0.0741272, 0.002822876, -0.0012664795]Mag:[-18.38684, 29.756165, -53.5141]Pre:nullrot:[0.21776427, -0.052110057, -0.17426026, 0.95890385, 0.0]Mot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:3779452963935Acc:[-0.19302368, 4.873398, 8.620331]Gyro:[0.0741272, 0.002822876, -0.0012664795]Mag:[-18.38684, 29.756165, -53.5141]Pre:nullrot:[0.21776427, -0.052110057, -0.17426026, 0.95890385, 0.0]Mot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:3779516562568Acc:[0.06555176, 4.782425, 8.452728]Gyro:[0.0741272, 0.002822876, -0.0012664795]Mag:[-18.38684, 29.756165, -53.5141]Pre:nullrot:[0.21776427, -0.052110057, -0.17426026, 0.95890385, 0.0]Mot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:3779524619209Acc:[0.06555176, 4.782425, 8.452728]Gyro:[0.0741272, 0.002822876, -0.0012664795]Mag:[-18.38684, 29.756165, -53.5141]Pre:nullrot:[0.23564155, -0.047196347, -0.17681542, 0.9544537, 0.0]Mot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:3779524619209Acc:[0.06555176, 4.782425, 8.452728]Gyro:[0.0741272, 0.002822876, -0.0012664795]Mag:[-18.237305, 28.256226, -53.138733]Pre:nullrot:[0.23564155, -0.047196347, -0.17681542, 0.9544537, 0.0]Mot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:3779524619209Acc:[0.06555176, 4.782425, 8.452728]Gyro:[0.08181763, 0.0034332275, 0.0010223389]Mag:[-18.237305, 28.256226, -53.138733]Pre:nullrot:[0.23564155, -0.047196347, -0.17681542, 0.9544537, 0.0]Mot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:3779580130683Acc:[-0.025436401, 4.696228, 8.151062]Gyro:[0.08181763, 0.0034332275, 0.0010223389]Mag:[-18.237305, 28.256226, -53.138733]Pre:nullrot:[0.23564155, -0.047196347, -0.17681542, 0.9544537, 0.0]Mot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:3779643729316Acc:[-0.1164093, 4.9356537, 8.447937]Gyro:[0.08181763, 0.0034332275, 0.0010223389]Mag:[-18.237305, 28.256226, -53.138733]Pre:nullrot:[0.23564155, -0.047196347, -0.17681542, 0.9544537, 0.0]Mot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:3779707327949Acc:[0.45341492, 4.648346, 8.189362]Gyro:[0.08181763, 0.0034332275, 0.0010223389]Mag:[-18.237305, 28.256226, -53.138733]Pre:nullrot:[0.23564155, -0.047196347, -0.17681542, 0.9544537, 0.0]Mot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:3779726309883Acc:[0.45341492, 4.648346, 8.189362]Gyro:[0.08181763, 0.0034332275, 0.0010223389]Mag:[-18.237305, 28.256226, -53.138733]Pre:nullrot:[0.24639861, -0.050426483, -0.17215784, 0.9524214, 0.0]Mot:nullprox:[5.000305, 3.6621094E-4, 0.0]
