time:77188331120657Acc:[-0.16908264, 2.522293, 9.482239]Gyro:[-0.06704712, -0.03540039, -0.0844574]Mag:[7.713318, 31.556702, -14.964294]Pre:nullrot:[0.12517765, 0.026339287, 0.10925589, 0.9857484, 0.0]Mot:nullprox:[5.000305, 2.2888184E-4, 0.0]
time:77188394169973Acc:[-0.30316162, 2.6707306, 9.482239]Gyro:[-0.06704712, -0.03540039, -0.0844574]Mag:[7.713318, 31.556702, -14.964294]Pre:nullrot:[0.12517765, 0.026339287, 0.10925589, 0.9857484, 0.0]Mot:nullprox:[5.000305, 2.2888184E-4, 0.0]
time:77188458317923Acc:[-0.25527954, 2.7090454, 9.381683]Gyro:[-0.06704712, -0.03540039, -0.0844574]Mag:[7.713318, 31.556702, -14.964294]Pre:nullrot:[0.12517765, 0.026339287, 0.10925589, 0.9857484, 0.0]Mot:nullprox:[5.000305, 2.2888184E-4, 0.0]
time:77188469731497Acc:[-0.25527954, 2.7090454, 9.381683]Gyro:[-0.06704712, -0.03540039, -0.0844574]Mag:[8.088684, 31.40564, -14.964294]Pre:nullrot:[0.12517765, 0.026339287, 0.10925589, 0.9857484, 0.0]Mot:nullprox:[5.000305, 2.2888184E-4, 0.0]
time:77188469731497Acc:[-0.25527954, 2.7090454, 9.381683]Gyro:[-0.06704712, -0.03540039, -0.0844574]Mag:[8.088684, 31.40564, -14.964294]Pre:nullrot:[0.12561445, 0.025265088, 0.110968985, 0.9855296, 0.0]Mot:nullprox:[5.000305, 2.2888184E-4, 0.0]
time:77188469731497Acc:[-0.25527954, 2.7090454, 9.381683]Gyro:[-0.0677948, -0.032836914, -0.08099365]Mag:[8.088684, 31.40564, -14.964294]Pre:nullrot:[0.12561445, 0.025265088, 0.110968985, 0.9855296, 0.0]Mot:nullprox:[5.000305, 2.2888184E-4, 0.0]
time:77188521977591Acc:[-0.31274414, 2.7952423, 9.424774]Gyro:[-0.0677948, -0.032836914, -0.08099365]Mag:[8.088684, 31.40564, -14.964294]Pre:nullrot:[0.12561445, 0.025265088, 0.110968985, 0.9855296, 0.0]Mot:nullprox:[5.000305, 2.2888184E-4, 0.0]
time:77188585515188Acc:[-0.24090576, 2.771286, 9.309845]Gyro:[-0.0677948, -0.032836914, -0.08099365]Mag:[8.088684, 31.40564, -14.964294]Pre:nullrot:[0.12561445, 0.025265088, 0.110968985, 0.9855296, 0.0]Mot:nullprox:[5.000305, 2.2888184E-4, 0.0]
time:77188649144339Acc:[-0.42288208, 2.881424, 9.467865]Gyro:[-0.0677948, -0.032836914, -0.08099365]Mag:[8.088684, 31.40564, -14.964294]Pre:nullrot:[0.12561445, 0.025265088, 0.110968985, 0.9855296, 0.0]Mot:nullprox:[5.000305, 2.2888184E-4, 0.0]
time:77188671269583Acc:[-0.42288208, 2.881424, 9.467865]Gyro:[-0.0677948, -0.032836914, -0.08099365]Mag:[8.914185, 31.0318, -14.964294]Pre:nullrot:[0.12561445, 0.025265088, 0.110968985, 0.9855296, 0.0]Mot:nullprox:[5.000305, 2.2888184E-4, 0.0]
