time:1662583044057Acc:nullGyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 2.1362305E-4, 0.0]
time:1740174383168Acc:[0.3241272, 5.23732, 7.9308014]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 2.1362305E-4, 0.0]
time:1740238256459Acc:[0.28102112, 5.2947845, 7.902069]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 2.1362305E-4, 0.0]
time:1740302129750Acc:[0.13737488, 5.1367645, 9.065643]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 2.1362305E-4, 0.0]
time:1740365972524Acc:[0.29060364, 5.1607056, 8.356964]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 2.1362305E-4, 0.0]
time:1740429815297Acc:[0.21878052, 5.280411, 8.165421]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 2.1362305E-4, 0.0]
time:1740493627553Acc:[0.27622986, 5.280411, 7.9643097]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 2.1362305E-4, 0.0]
time:1740548131948Acc:[0.27622986, 5.280411, 7.9643097]Gyro:nullMag:[15.513611, -13.218689, -43.914795]Pre:nullrot:nullMot:nullprox:[5.000305, 2.1362305E-4, 0.0]
time:1742153081899Acc:[0.59706116, 4.9356537, 8.510193]Gyro:[0.22824097, 0.10231018, 0.4116211]Mag:[14.312744, -12.768555, -43.914795]Pre:nullrot:[0.254481, 0.104376234, 0.46590617, 0.8409973, 0.0]Mot:nullprox:[5.000305, 2.1362305E-4, 0.0]
time:1742217687612Acc:[0.635376, 4.988327, 8.471878]Gyro:[0.22824097, 0.10231018, 0.4116211]Mag:[14.312744, -12.768555, -43.914795]Pre:nullrot:[0.254481, 0.104376234, 0.46590617, 0.8409973, 0.0]Mot:nullprox:[5.000305, 2.1362305E-4, 0.0]
time:1742281530385Acc:[0.55874634, 4.9978943, 8.342606]Gyro:[0.22824097, 0.10231018, 0.4116211]Mag:[14.312744, -12.768555, -43.914795]Pre:nullrot:[0.254481, 0.104376234, 0.46590617, 0.8409973, 0.0]Mot:nullprox:[5.000305, 2.1362305E-4, 0.0]
time:1742360906606Acc:[0.55874634, 4.9978943, 8.342606]Gyro:[0.22824097, 0.10231018, 0.4116211]Mag:[14.312744, -12.918091, -44.36493]Pre:nullrot:[0.254481, 0.104376234, 0.46590617, 0.8409973, 0.0]Mot:nullprox:[5.000305, 2.1362305E-4, 0.0]
time:1742360906606Acc:[0.55874634, 4.9978943, 8.342606]Gyro:[0.22824097, 0.10231018, 0.4116211]Mag:[14.312744, -12.918091, -44.36493]Pre:nullrot:[0.24535403, 0.10369163, 0.480735, 0.83543, 0.0]Mot:nullprox:[5.000305, 2.1362305E-4, 0.0]
time:1742360906606Acc:[0.55874634, 4.9978943, 8.342606]Gyro:[0.16648865, 0.07359314, 0.30189514]Mag:[14.312744, -12.918091, -44.36493]Pre:nullrot:[0.24535403, 0.10369163, 0.480735, 0.83543, 0.0]Mot:nullprox:[5.000305, 2.1362305E-4, 0.0]
time:1742345373158Acc:[0.6210022, 4.993103, 8.486252]Gyro:[0.16648865, 0.07359314, 0.30189514]Mag:[14.312744, -12.918091, -44.36493]Pre:nullrot:[0.24535403, 0.10369163, 0.480735, 0.83543, 0.0]Mot:nullprox:[5.000305, 2.1362305E-4, 0.0]
time:1742409215932Acc:[0.59706116, 5.0649414, 8.270767]Gyro:[0.16648865, 0.07359314, 0.30189514]Mag:[14.312744, -12.918091, -44.36493]Pre:nullrot:[0.24535403, 0.10369163, 0.480735, 0.83543, 0.0]Mot:nullprox:[5.000305, 2.1362305E-4, 0.0]
time:1742473058705Acc:[0.61143494, 5.074524, 8.285141]Gyro:[0.16648865, 0.07359314, 0.30189514]Mag:[14.312744, -12.918091, -44.36493]Pre:nullrot:[0.24535403, 0.10369163, 0.480735, 0.83543, 0.0]Mot:nullprox:[5.000305, 2.1362305E-4, 0.0]
time:1742536901479Acc:[0.5635376, 5.012268, 8.462311]Gyro:[0.16648865, 0.07359314, 0.30189514]Mag:[14.312744, -12.918091, -44.36493]Pre:nullrot:[0.24535403, 0.10369163, 0.480735, 0.83543, 0.0]Mot:nullprox:[5.000305, 2.1362305E-4, 0.0]
time:1742561956410Acc:[0.5635376, 5.012268, 8.462311]Gyro:[0.16648865, 0.07359314, 0.30189514]Mag:[14.312744, -12.918091, -44.36493]Pre:nullrot:[0.24624163, 0.10423324, 0.47768304, 0.8368509, 0.0]Mot:nullprox:[5.000305, 2.1362305E-4, 0.0]
time:1742561956410Acc:[0.5635376, 5.012268, 8.462311]Gyro:[0.12097168, 0.052001953, 0.22129822]Mag:[14.312744, -12.918091, -44.36493]Pre:nullrot:[0.24624163, 0.10423324, 0.47768304, 0.8368509, 0.0]Mot:nullprox:[5.000305, 2.1362305E-4, 0.0]
time:1742561956410Acc:[0.5635376, 5.012268, 8.462311]Gyro:[0.12097168, 0.052001953, 0.22129822]Mag:[14.312744, -13.668823, -44.1391]Pre:nullrot:[0.24624163, 0.10423324, 0.47768304, 0.8368509, 0.0]Mot:nullprox:[5.000305, 2.1362305E-4, 0.0]
time:1742601293569Acc:[0.664093, 5.0266266, 8.323441]Gyro:[0.12097168, 0.052001953, 0.22129822]Mag:[14.312744, -13.668823, -44.1391]Pre:nullrot:[0.24624163, 0.10423324, 0.47768304, 0.8368509, 0.0]Mot:nullprox:[5.000305, 2.1362305E-4, 0.0]
time:1742666173940Acc:[0.5778961, 4.9595947, 8.43837]Gyro:[0.12097168, 0.052001953, 0.22129822]Mag:[14.312744, -13.668823, -44.1391]Pre:nullrot:[0.24624163, 0.10423324, 0.47768304, 0.8368509, 0.0]Mot:nullprox:[5.000305, 2.1362305E-4, 0.0]
time:1742728368764Acc:[0.59706116, 4.9595947, 8.543716]Gyro:[0.12097168, 0.052001953, 0.22129822]Mag:[14.312744, -13.668823, -44.1391]Pre:nullrot:[0.24624163, 0.10423324, 0.47768304, 0.8368509, 0.0]Mot:nullprox:[5.000305, 2.1362305E-4, 0.0]
time:1742763708119Acc:[0.59706116, 4.9595947, 8.543716]Gyro:[0.12097168, 0.052001953, 0.22129822]Mag:[14.312744, -13.668823, -44.1391]Pre:nullrot:[0.24779642, 0.10373643, 0.47609594, 0.83735794, 0.0]Mot:nullprox:[5.000305, 2.1362305E-4, 0.0]
time:1742763708119Acc:[0.59706116, 4.9595947, 8.543716]Gyro:[0.12097168, 0.052001953, 0.22129822]Mag:[14.312744, -13.668823, -44.06433]Pre:nullrot:[0.24779642, 0.10373643, 0.47609594, 0.83735794, 0.0]Mot:nullprox:[5.000305, 2.1362305E-4, 0.0]
time:1742763708119Acc:[0.59706116, 4.9595947, 8.543716]Gyro:[0.087646484, 0.03605652, 0.16316223]Mag:[14.312744, -13.668823, -44.06433]Pre:nullrot:[0.24779642, 0.10373643, 0.47609594, 0.83735794, 0.0]Mot:nullprox:[5.000305, 2.1362305E-4, 0.0]
time:1742792242055Acc:[0.6497345, 4.950012, 8.476669]Gyro:[0.087646484, 0.03605652, 0.16316223]Mag:[14.312744, -13.668823, -44.06433]Pre:nullrot:[0.24779642, 0.10373643, 0.47609594, 0.83735794, 0.0]Mot:nullprox:[5.000305, 2.1362305E-4, 0.0]
