time:76881846285313Acc:[0.798172, 2.7377777, 9.458298]Gyro:[-0.029937744, 0.018157959, 0.0053253174]Mag:[10.787964, 29.681396, -14.51416]Pre:nullrot:[0.11735004, 0.041033864, 0.15712337, 0.97972316, 0.0]Mot:nullprox:[5.000305, 2.2888184E-4, 0.0]
time:76881910555333Acc:[0.9944916, 2.9676208, 9.281128]Gyro:[-0.029937744, 0.018157959, 0.0053253174]Mag:[10.787964, 29.681396, -14.51416]Pre:nullrot:[0.11735004, 0.041033864, 0.15712337, 0.97972316, 0.0]Mot:nullprox:[5.000305, 2.2888184E-4, 0.0]
time:76881973482579Acc:[0.73114014, 2.7617188, 9.68335]Gyro:[-0.029937744, 0.018157959, 0.0053253174]Mag:[10.787964, 29.681396, -14.51416]Pre:nullrot:[0.11735004, 0.041033864, 0.15712337, 0.97972316, 0.0]Mot:nullprox:[5.000305, 2.2888184E-4, 0.0]
time:76882037630528Acc:[0.8269043, 2.8239594, 8.821442]Gyro:[-0.029937744, 0.018157959, 0.0053253174]Mag:[10.787964, 29.681396, -14.51416]Pre:nullrot:[0.11735004, 0.041033864, 0.15712337, 0.97972316, 0.0]Mot:nullprox:[5.000305, 2.2888184E-4, 0.0]
time:76882015047520Acc:[0.8269043, 2.8239594, 8.821442]Gyro:[-0.029937744, 0.018157959, 0.0053253174]Mag:[10.787964, 29.681396, -14.51416]Pre:nullrot:[0.14254817, -0.007334173, 0.1453066, 0.9790364, 0.0]Mot:nullprox:[5.000305, 2.2888184E-4, 0.0]
time:76882015047520Acc:[0.8269043, 2.8239594, 8.821442]Gyro:[-0.029937744, 0.018157959, 0.0053253174]Mag:[8.23822, 29.231262, -14.51416]Pre:nullrot:[0.14254817, -0.007334173, 0.1453066, 0.9790364, 0.0]Mot:nullprox:[5.000305, 2.2888184E-4, 0.0]
time:76882015047520Acc:[0.8269043, 2.8239594, 8.821442]Gyro:[-0.025360107, 0.020004272, 0.008834839]Mag:[8.23822, 29.231262, -14.51416]Pre:nullrot:[0.14254817, -0.007334173, 0.1453066, 0.9790364, 0.0]Mot:nullprox:[5.000305, 2.2888184E-4, 0.0]
time:76882100649327Acc:[0.5635376, 2.8287506, 9.721649]Gyro:[-0.025360107, 0.020004272, 0.008834839]Mag:[8.23822, 29.231262, -14.51416]Pre:nullrot:[0.14254817, -0.007334173, 0.1453066, 0.9790364, 0.0]Mot:nullprox:[5.000305, 2.2888184E-4, 0.0]
time:76882164217442Acc:[0.4151001, 2.699463, 9.343369]Gyro:[-0.025360107, 0.020004272, 0.008834839]Mag:[8.23822, 29.231262, -14.51416]Pre:nullrot:[0.14254817, -0.007334173, 0.1453066, 0.9790364, 0.0]Mot:nullprox:[5.000305, 2.2888184E-4, 0.0]
time:76882227816075Acc:[0.3815918, 2.7090454, 9.558853]Gyro:[-0.025360107, 0.020004272, 0.008834839]Mag:[8.23822, 29.231262, -14.51416]Pre:nullrot:[0.14254817, -0.007334173, 0.1453066, 0.9790364, 0.0]Mot:nullprox:[5.000305, 2.2888184E-4, 0.0]
time:76882216799229Acc:[0.3815918, 2.7090454, 9.558853]Gyro:[-0.025360107, 0.020004272, 0.008834839]Mag:[8.23822, 29.231262, -14.51416]Pre:nullrot:[0.14424191, -0.009714661, 0.12760217, 0.9812327, 0.0]Mot:nullprox:[5.000305, 2.2888184E-4, 0.0]
time:76882216799229Acc:[0.3815918, 2.7090454, 9.558853]Gyro:[-0.025360107, 0.020004272, 0.008834839]Mag:[7.2631836, 29.0802, -14.889526]Pre:nullrot:[0.14424191, -0.009714661, 0.12760217, 0.9812327, 0.0]Mot:nullprox:[5.000305, 2.2888184E-4, 0.0]
time:76882216799229Acc:[0.3815918, 2.7090454, 9.558853]Gyro:[-0.020721436, 0.022918701, 0.012252808]Mag:[7.2631836, 29.0802, -14.889526]Pre:nullrot:[0.14424191, -0.009714661, 0.12760217, 0.9812327, 0.0]Mot:nullprox:[5.000305, 2.2888184E-4, 0.0]
time:76882291384190Acc:[0.36721802, 2.76651, 9.467865]Gyro:[-0.020721436, 0.022918701, 0.012252808]Mag:[7.2631836, 29.0802, -14.889526]Pre:nullrot:[0.14424191, -0.009714661, 0.12760217, 0.9812327, 0.0]Mot:nullprox:[5.000305, 2.2888184E-4, 0.0]
time:76882354952306Acc:[0.27622986, 2.8239594, 9.295486]Gyro:[-0.020721436, 0.022918701, 0.012252808]Mag:[7.2631836, 29.0802, -14.889526]Pre:nullrot:[0.14424191, -0.009714661, 0.12760217, 0.9812327, 0.0]Mot:nullprox:[5.000305, 2.2888184E-4, 0.0]
time:76882419283360Acc:[0.30496216, 2.6946716, 9.290695]Gyro:[-0.020721436, 0.022918701, 0.012252808]Mag:[7.2631836, 29.0802, -14.889526]Pre:nullrot:[0.14424191, -0.009714661, 0.12760217, 0.9812327, 0.0]Mot:nullprox:[5.000305, 2.2888184E-4, 0.0]
time:76882418215245Acc:[0.30496216, 2.6946716, 9.290695]Gyro:[-0.020721436, 0.022918701, 0.012252808]Mag:[7.788086, 29.005432, -15.0390625]Pre:nullrot:[0.14424191, -0.009714661, 0.12760217, 0.9812327, 0.0]Mot:nullprox:[5.000305, 2.2888184E-4, 0.0]
time:76882418215245Acc:[0.30496216, 2.6946716, 9.290695]Gyro:[-0.020721436, 0.022918701, 0.012252808]Mag:[7.788086, 29.005432, -15.0390625]Pre:nullrot:[0.14332539, -0.0027446197, 0.12457794, 0.9817997, 0.0]Mot:nullprox:[5.000305, 2.2888184E-4, 0.0]
time:76882418215245Acc:[0.30496216, 2.6946716, 9.290695]Gyro:[-0.018600464, 0.025314331, 0.016067505]Mag:[7.788086, 29.005432, -15.0390625]Pre:nullrot:[0.14332539, -0.0027446197, 0.12457794, 0.9817997, 0.0]Mot:nullprox:[5.000305, 2.2888184E-4, 0.0]
time:76882482119054Acc:[0.16131592, 2.7808685, 9.429565]Gyro:[-0.018600464, 0.025314331, 0.016067505]Mag:[7.788086, 29.005432, -15.0390625]Pre:nullrot:[0.14332539, -0.0027446197, 0.12457794, 0.9817997, 0.0]Mot:nullprox:[5.000305, 2.2888184E-4, 0.0]
