time:1150938608170Acc:nullGyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:3121581552506Acc:[-0.46118164, 3.7433472, 8.792709]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:3121645059586Acc:[-0.9065094, 3.2932281, 9.573212]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:3121708566666Acc:[-0.81552124, 3.3506927, 9.386475]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:3121772104263Acc:[-0.73890686, 3.628418, 8.826218]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:3121835641861Acc:[-0.7197571, 3.4656067, 9.261963]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:3121901590347Acc:[-0.7197571, 3.4656067, 9.261963]Gyro:nullMag:[-14.63623, 38.08136, -55.314636]Pre:nullrot:nullMot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:3123423654556Acc:[-0.7772217, 3.3794098, 9.214081]Gyro:[-0.0053100586, -0.0013885498, 1.5258789E-4]Mag:[-13.887024, 36.58142, -55.163574]Pre:nullrot:[0.17377332, 0.008631829, -0.15827756, 0.9719447, 0.0]Mot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:3123487192154Acc:[-0.7101898, 3.4560394, 9.147049]Gyro:[-0.0053100586, -0.0013885498, 1.5258789E-4]Mag:[-13.887024, 36.58142, -55.163574]Pre:nullrot:[0.17377332, 0.008631829, -0.15827756, 0.9719447, 0.0]Mot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:3123512918472Acc:[-0.7101898, 3.4560394, 9.147049]Gyro:[-0.0053100586, -0.0013885498, 1.5258789E-4]Mag:[-13.81073, 36.80725, -55.163574]Pre:nullrot:[0.17377332, 0.008631829, -0.15827756, 0.9719447, 0.0]Mot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:3123512918472Acc:[-0.7101898, 3.4560394, 9.147049]Gyro:[-0.0053100586, -0.0013885498, 1.5258789E-4]Mag:[-13.81073, 36.80725, -55.163574]Pre:nullrot:[0.17769715, 0.010105502, -0.15901326, 0.9711006, 0.0]Mot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:3123512918472Acc:[-0.7101898, 3.4560394, 9.147049]Gyro:[-0.0052490234, -0.001159668, 4.5776367E-4]Mag:[-13.81073, 36.80725, -55.163574]Pre:nullrot:[0.17769715, 0.010105502, -0.15901326, 0.9711006, 0.0]Mot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:3123550699234Acc:[-0.6622925, 3.4081573, 9.123108]Gyro:[-0.0052490234, -0.001159668, 4.5776367E-4]Mag:[-13.81073, 36.80725, -55.163574]Pre:nullrot:[0.17769715, 0.010105502, -0.15901326, 0.9711006, 0.0]Mot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:3123614206314Acc:[-0.58088684, 3.537445, 9.060852]Gyro:[-0.0052490234, -0.001159668, 4.5776367E-4]Mag:[-13.81073, 36.80725, -55.163574]Pre:nullrot:[0.17769715, 0.010105502, -0.15901326, 0.9711006, 0.0]Mot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:3123677743912Acc:[-0.56173706, 3.51828, 8.8884735]Gyro:[-0.0052490234, -0.001159668, 4.5776367E-4]Mag:[-13.81073, 36.80725, -55.163574]Pre:nullrot:[0.17769715, 0.010105502, -0.15901326, 0.9711006, 0.0]Mot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:3123714334488Acc:[-0.56173706, 3.51828, 8.8884735]Gyro:[-0.0052490234, -0.001159668, 4.5776367E-4]Mag:[-13.735962, 36.58142, -55.088806]Pre:nullrot:[0.17769715, 0.010105502, -0.15901326, 0.9711006, 0.0]Mot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:3123714334488Acc:[-0.56173706, 3.51828, 8.8884735]Gyro:[-0.0052490234, -0.001159668, 4.5776367E-4]Mag:[-13.735962, 36.58142, -55.088806]Pre:nullrot:[0.17984676, 0.008993535, -0.15759249, 0.9709474, 0.0]Mot:nullprox:[5.000305, 3.6621094E-4, 0.0]
