time:789129340295802Acc:nullGyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:789160878564845Acc:[0.68803406, 5.309143, 8.031357]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:789160942316065Acc:[0.53001404, 5.1223907, 8.864532]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:789161006128321Acc:[0.90830994, 4.782425, 8.687363]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:789161069940577Acc:[0.7885895, 5.0026855, 8.428787]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:789161134149562Acc:[0.8699951, 4.8255157, 8.845383]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:789161197534571Acc:[0.52523804, 5.404907, 8.572433]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:789161195734034Acc:[0.52523804, 5.404907, 8.572433]Gyro:nullMag:[-45.462036, 35.83069, -33.189392]Pre:nullrot:nullMot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:789163008503023Acc:[0.3863678, 5.242111, 8.323441]Gyro:[0.03366089, 0.030975342, 0.010131836]Mag:[-39.46228, 32.23114, -46.23871]Pre:nullrot:[0.27763993, -0.11050613, -0.32013458, 0.89900964, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:789163008503023Acc:[0.3863678, 5.242111, 8.323441]Gyro:[0.035507202, 0.030319214, 0.012451172]Mag:[-39.46228, 32.23114, -46.23871]Pre:nullrot:[0.27763993, -0.11050613, -0.32013458, 0.89900964, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:789163047504488Acc:[0.41989136, 5.3139343, 8.270767]Gyro:[0.035507202, 0.030319214, 0.012451172]Mag:[-39.46228, 32.23114, -46.23871]Pre:nullrot:[0.27763993, -0.11050613, -0.32013458, 0.89900964, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:789163111286227Acc:[0.51086426, 5.189438, 8.505402]Gyro:[0.035507202, 0.030319214, 0.012451172]Mag:[-39.46228, 32.23114, -46.23871]Pre:nullrot:[0.27763993, -0.11050613, -0.32013458, 0.89900964, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:789163175067965Acc:[0.5922699, 5.165497, 8.323441]Gyro:[0.035507202, 0.030319214, 0.012451172]Mag:[-39.46228, 32.23114, -46.23871]Pre:nullrot:[0.27763993, -0.11050613, -0.32013458, 0.89900964, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:789163209888521Acc:[0.5922699, 5.165497, 8.323441]Gyro:[0.035507202, 0.030319214, 0.012451172]Mag:[-39.686584, 32.380676, -46.313477]Pre:nullrot:[0.27763993, -0.11050613, -0.32013458, 0.89900964, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:789163209888521Acc:[0.5922699, 5.165497, 8.323441]Gyro:[0.035125732, 0.028259277, 0.013092041]Mag:[-39.686584, 32.380676, -46.313477]Pre:nullrot:[0.27763993, -0.11050613, -0.32013458, 0.89900964, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:789163209888521Acc:[0.5922699, 5.165497, 8.323441]Gyro:[0.035125732, 0.028259277, 0.013092041]Mag:[-39.686584, 32.380676, -46.313477]Pre:nullrot:[0.26602066, -0.11141977, -0.31984255, 0.9025073, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:789163238056246Acc:[0.664093, 5.1319733, 8.294708]Gyro:[0.035125732, 0.028259277, 0.013092041]Mag:[-39.686584, 32.380676, -46.313477]Pre:nullrot:[0.26602066, -0.11141977, -0.31984255, 0.9025073, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:789163302692477Acc:[0.67367554, 5.275635, 8.222885]Gyro:[0.035125732, 0.028259277, 0.013092041]Mag:[-39.686584, 32.380676, -46.313477]Pre:nullrot:[0.26602066, -0.11141977, -0.31984255, 0.9025073, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
