time:790281424040770Acc:nullGyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790409973692870Acc:[0.5443878, 4.6435547, 8.634689]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790410037627196Acc:[0.39115906, 4.76326, 8.313873]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790410100829100Acc:[0.27622986, 4.686661, 8.4335785]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790410165099120Acc:[-0.039794922, 4.4137115, 8.878906]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790410228880858Acc:[-0.087677, 4.380188, 8.921997]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790410292632079Acc:[-0.011062622, 4.552582, 8.510193]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790410277190184Acc:[-0.011062622, 4.552582, 8.510193]Gyro:nullMag:[-39.76288, 31.256104, -50.590515]Pre:nullrot:nullMot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790411822813963Acc:[-1.0357971, 4.9978943, 8.548492]Gyro:[-0.0016937256, 0.042175293, -0.003540039]Mag:[-31.96106, 34.48181, -48.789978]Pre:nullrot:[0.27469596, -0.038723826, -0.3125256, 0.90849894, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790411886565184Acc:[-0.91607666, 4.9931183, 8.495819]Gyro:[-0.0016937256, 0.042175293, -0.003540039]Mag:[-31.96106, 34.48181, -48.789978]Pre:nullrot:[0.27469596, -0.038723826, -0.3125256, 0.90849894, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790411888518309Acc:[-0.91607666, 4.9931183, 8.495819]Gyro:[-0.0016937256, 0.042175293, -0.003540039]Mag:[-31.436157, 33.506775, -48.71521]Pre:nullrot:[0.27469596, -0.038723826, -0.3125256, 0.90849894, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790411888518309Acc:[-0.91607666, 4.9931183, 8.495819]Gyro:[-0.0016937256, 0.042175293, -0.003540039]Mag:[-31.436157, 33.506775, -48.71521]Pre:nullrot:[0.28568545, -0.038655657, -0.31071526, 0.9057293, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790411888518309Acc:[-0.91607666, 4.9931183, 8.495819]Gyro:[-4.5776367E-5, 0.050933838, -0.007369995]Mag:[-31.436157, 33.506775, -48.71521]Pre:nullrot:[0.28568545, -0.038655657, -0.31071526, 0.9057293, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790411950346922Acc:[-0.73890686, 4.9787445, 8.289917]Gyro:[-4.5776367E-5, 0.050933838, -0.007369995]Mag:[-31.436157, 33.506775, -48.71521]Pre:nullrot:[0.28568545, -0.038655657, -0.31071526, 0.9057293, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790412013609862Acc:[-0.68144226, 4.9787445, 8.43837]Gyro:[-4.5776367E-5, 0.050933838, -0.007369995]Mag:[-31.436157, 33.506775, -48.71521]Pre:nullrot:[0.28568545, -0.038655657, -0.31071526, 0.9057293, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790412077879881Acc:[-0.63835144, 4.9978943, 8.43837]Gyro:[-4.5776367E-5, 0.050933838, -0.007369995]Mag:[-31.436157, 33.506775, -48.71521]Pre:nullrot:[0.28568545, -0.038655657, -0.31071526, 0.9057293, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790412089873290Acc:[-0.63835144, 4.9978943, 8.43837]Gyro:[-4.5776367E-5, 0.050933838, -0.007369995]Mag:[-31.58722, 32.006836, -48.26355]Pre:nullrot:[0.28568545, -0.038655657, -0.31071526, 0.9057293, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790412089873290Acc:[-0.63835144, 4.9978943, 8.43837]Gyro:[-4.5776367E-5, 0.050933838, -0.007369995]Mag:[-31.58722, 32.006836, -48.26355]Pre:nullrot:[0.27093175, -0.037754916, -0.3134012, 0.90936804, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
