time:787979760186076Acc:[1.6026306, 4.8207245, 7.4567413]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:null
time:786650109679038Acc:[1.6026306, 4.8207245, 7.4567413]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787979824705893Acc:[0.73114014, 4.562149, 8.99382]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787979888426596Acc:[0.38157654, 4.5094757, 9.36731]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787979952086264Acc:[0.64494324, 4.3658295, 8.845383]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787980015806968Acc:[0.56832886, 4.447235, 8.701721]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787980079558188Acc:[0.5731201, 4.418503, 8.491043]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787980092284018Acc:[0.5731201, 4.418503, 8.491043]Gyro:nullMag:[-39.53705, 33.73108, -47.06421]Pre:nullrot:nullMot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787981608702475Acc:[0.41989136, 4.9356537, 8.462311]Gyro:[0.005630493, -0.030761719, 0.009933472]Mag:[-37.586975, 32.30591, -46.914673]Pre:nullrot:[0.24505213, -0.09281247, -0.28786737, 0.921123, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787981672392661Acc:[0.42468262, 4.945221, 8.400055]Gyro:[0.005630493, -0.030761719, 0.009933472]Mag:[-37.586975, 32.30591, -46.914673]Pre:nullrot:[0.24505213, -0.09281247, -0.28786737, 0.921123, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787981703551108Acc:[0.42468262, 4.945221, 8.400055]Gyro:[0.005630493, -0.030761719, 0.009933472]Mag:[-37.73651, 32.681274, -46.914673]Pre:nullrot:[0.24505213, -0.09281247, -0.28786737, 0.921123, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787981703551108Acc:[0.42468262, 4.945221, 8.400055]Gyro:[0.005630493, -0.030761719, 0.009933472]Mag:[-37.73651, 32.681274, -46.914673]Pre:nullrot:[0.2449336, -0.09355334, -0.28740647, 0.9212235, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787981703551108Acc:[0.42468262, 4.945221, 8.400055]Gyro:[0.010848999, -0.031799316, 0.004623413]Mag:[-37.73651, 32.681274, -46.914673]Pre:nullrot:[0.2449336, -0.09355334, -0.28740647, 0.9212235, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787981736113364Acc:[0.46777344, 4.8925476, 8.510193]Gyro:[0.010848999, -0.031799316, 0.004623413]Mag:[-37.73651, 32.681274, -46.914673]Pre:nullrot:[0.2449336, -0.09355334, -0.28740647, 0.9212235, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787981799864585Acc:[0.42468262, 4.9356537, 8.43837]Gyro:[0.010848999, -0.031799316, 0.004623413]Mag:[-37.73651, 32.681274, -46.914673]Pre:nullrot:[0.2449336, -0.09355334, -0.28740647, 0.9212235, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787981863585288Acc:[0.40551758, 4.9356537, 8.462296]Gyro:[0.010848999, -0.031799316, 0.004623413]Mag:[-37.73651, 32.681274, -46.914673]Pre:nullrot:[0.2449336, -0.09355334, -0.28740647, 0.9212235, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787981926787192Acc:[0.44862366, 4.9164886, 8.467087]Gyro:[0.010848999, -0.031799316, 0.004623413]Mag:[-37.73651, 32.681274, -46.914673]Pre:nullrot:[0.2449336, -0.09355334, -0.28740647, 0.9212235, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787981904661948Acc:[0.44862366, 4.9164886, 8.467087]Gyro:[0.010848999, -0.031799316, 0.004623413]Mag:[-37.586975, 33.13141, -46.914673]Pre:nullrot:[0.2449336, -0.09355334, -0.28740647, 0.9212235, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
