time:789679029694623Acc:nullGyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:789717613434857Acc:[2.3113098, 6.6786194, 6.2787933]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:789717677216595Acc:[2.2107544, 6.645111, 6.7576294]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:789717740967816Acc:[2.158081, 6.716934, 6.8725586]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:789717804810589Acc:[2.0718842, 6.7073517, 7.0497284]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:789717868592328Acc:[2.1293488, 6.6594696, 6.6858063]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:789717931824750Acc:[1.9904785, 6.6067963, 6.9443817]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:789717909302777Acc:[1.9904785, 6.6067963, 6.9443817]Gyro:nullMag:[-40.512085, 21.731567, -46.614075]Pre:nullrot:nullMot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:789719463898724Acc:[2.1054077, 6.4918823, 7.341812]Gyro:[0.078201294, -0.0015411377, -0.023925781]Mag:[-36.312866, 19.10553, -46.614075]Pre:nullrot:[0.30809087, -0.19149797, -0.27202877, 0.8912962, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:789719527283734Acc:[2.249054, 6.2668304, 7.0257874]Gyro:[0.078201294, -0.0015411377, -0.023925781]Mag:[-36.312866, 19.10553, -46.614075]Pre:nullrot:[0.30809087, -0.19149797, -0.27202877, 0.8912962, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:789719520936078Acc:[2.249054, 6.2668304, 7.0257874]Gyro:[0.078201294, -0.0015411377, -0.023925781]Mag:[-36.312866, 19.10553, -46.614075]Pre:nullrot:[0.3053992, -0.20040187, -0.2636413, 0.89278424, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:789719520936078Acc:[2.249054, 6.2668304, 7.0257874]Gyro:[0.078201294, -0.0015411377, -0.023925781]Mag:[-39.012146, 19.256592, -46.614075]Pre:nullrot:[0.3053992, -0.20040187, -0.2636413, 0.89278424, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:789719520936078Acc:[2.249054, 6.2668304, 7.0257874]Gyro:[0.07711792, -0.0029907227, -0.024383545]Mag:[-39.012146, 19.256592, -46.614075]Pre:nullrot:[0.3053992, -0.20040187, -0.2636413, 0.89278424, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:789719591065472Acc:[2.29216, 6.3386536, 6.862976]Gyro:[0.07711792, -0.0029907227, -0.024383545]Mag:[-39.012146, 19.256592, -46.614075]Pre:nullrot:[0.3053992, -0.20040187, -0.2636413, 0.89278424, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:789719654908246Acc:[3.134903, 6.458359, 6.6187744]Gyro:[0.07711792, -0.0029907227, -0.024383545]Mag:[-39.012146, 19.256592, -46.614075]Pre:nullrot:[0.3053992, -0.20040187, -0.2636413, 0.89278424, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:789719718689984Acc:[2.8571777, 4.4137115, 5.728134]Gyro:[0.07711792, -0.0029907227, -0.024383545]Mag:[-39.012146, 19.256592, -46.614075]Pre:nullrot:[0.3053992, -0.20040187, -0.2636413, 0.89278424, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:789719722352093Acc:[2.8571777, 4.4137115, 5.728134]Gyro:[0.07711792, -0.0029907227, -0.024383545]Mag:[-45.462036, 19.480896, -46.688843]Pre:nullrot:[0.3053992, -0.20040187, -0.2636413, 0.89278424, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:789719722352093Acc:[2.8571777, 4.4137115, 5.728134]Gyro:[0.07711792, -0.0029907227, -0.024383545]Mag:[-45.462036, 19.480896, -46.688843]Pre:nullrot:[0.30651405, -0.20754227, -0.25689238, 0.8927383, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
