time:790259264655678Acc:[0.7359314, 5.012268, 8.1414795]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:null
time:790047673356162Acc:[0.7359314, 5.012268, 8.1414795]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.2043457E-4, 0.0]
time:790259328751670Acc:[0.6497345, 4.9787445, 8.65863]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.2043457E-4, 0.0]
time:790259392533409Acc:[0.7263489, 4.926071, 8.414429]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.2043457E-4, 0.0]
time:790259456254112Acc:[0.45819092, 5.141556, 8.333023]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.2043457E-4, 0.0]
time:790259519974815Acc:[0.5443878, 5.0026855, 8.352173]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.2043457E-4, 0.0]
time:790259583756553Acc:[0.33369446, 5.1176147, 8.380905]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.2043457E-4, 0.0]
time:790259617966758Acc:[0.33369446, 5.1176147, 8.380905]Gyro:nullMag:nullPre:nullrot:[0.23457617, -0.124451645, -0.3411449, 0.90172386, 0.0]Mot:nullprox:[5.000305, 3.2043457E-4, 0.0]
time:790261229294883Acc:[0.22834778, 5.2899933, 8.117538]Gyro:[0.0717926, 0.11773682, -0.12283325]Mag:[-39.83612, 31.181335, -35.96344]Pre:nullrot:[0.2550528, -0.10811542, -0.3449038, 0.896828, 0.0]Mot:nullprox:[5.000305, 3.2043457E-4, 0.0]
time:790261229294883Acc:[0.22834778, 5.2899933, 8.117538]Gyro:[0.0717926, 0.11773682, -0.12283325]Mag:[-39.83612, 31.181335, -35.96344]Pre:nullrot:[0.25272524, -0.110897906, -0.34359363, 0.8976497, 0.0]Mot:nullprox:[5.000305, 3.2043457E-4, 0.0]
time:790261229294883Acc:[0.22834778, 5.2899933, 8.117538]Gyro:[0.0717926, 0.11773682, -0.12283325]Mag:[-39.912415, 30.206299, -35.96344]Pre:nullrot:[0.25272524, -0.110897906, -0.34359363, 0.8976497, 0.0]Mot:nullprox:[5.000305, 3.2043457E-4, 0.0]
time:790261304825889Acc:[0.21878052, 5.170288, 8.390472]Gyro:[0.0717926, 0.11773682, -0.12283325]Mag:[-39.912415, 30.206299, -35.96344]Pre:nullrot:[0.25272524, -0.110897906, -0.34359363, 0.8976497, 0.0]Mot:nullprox:[5.000305, 3.2043457E-4, 0.0]
time:790261368638145Acc:[0.19004822, 5.2516785, 8.275558]Gyro:[0.0717926, 0.11773682, -0.12283325]Mag:[-39.912415, 30.206299, -35.96344]Pre:nullrot:[0.25272524, -0.110897906, -0.34359363, 0.8976497, 0.0]Mot:nullprox:[5.000305, 3.2043457E-4, 0.0]
time:790261432358848Acc:[0.16131592, 5.261261, 8.275558]Gyro:[0.0717926, 0.11773682, -0.12283325]Mag:[-39.912415, 30.206299, -35.96344]Pre:nullrot:[0.25272524, -0.110897906, -0.34359363, 0.8976497, 0.0]Mot:nullprox:[5.000305, 3.2043457E-4, 0.0]
time:790261430741416Acc:[0.16131592, 5.261261, 8.275558]Gyro:[0.0717926, 0.11773682, -0.12283325]Mag:[-39.83612, 30.355835, -35.96344]Pre:nullrot:[0.25272524, -0.110897906, -0.34359363, 0.8976497, 0.0]Mot:nullprox:[5.000305, 3.2043457E-4, 0.0]
time:790261430741416Acc:[0.16131592, 5.261261, 8.275558]Gyro:[0.0717926, 0.11773682, -0.12283325]Mag:[-39.83612, 30.355835, -35.96344]Pre:nullrot:[0.25193402, -0.11125823, -0.3434057, 0.89789945, 0.0]Mot:nullprox:[5.000305, 3.2043457E-4, 0.0]
time:790261430741416Acc:[0.16131592, 5.261261, 8.275558]Gyro:[0.06362915, 0.10536194, -0.10479736]Mag:[-39.83612, 30.355835, -35.96344]Pre:nullrot:[0.25193402, -0.11125823, -0.3434057, 0.89789945, 0.0]Mot:nullprox:[5.000305, 3.2043457E-4, 0.0]
time:790261496110069Acc:[0.0894928, 5.3426666, 8.385696]Gyro:[0.06362915, 0.10536194, -0.10479736]Mag:[-39.83612, 30.355835, -35.96344]Pre:nullrot:[0.25193402, -0.11125823, -0.3434057, 0.89789945, 0.0]Mot:nullprox:[5.000305, 3.2043457E-4, 0.0]
