time:241671152064Acc:nullGyro:nullMag:nullPre:nullrot:nullMot:nullprox:[8.0]
time:241716925449Acc:nullGyro:nullMag:nullPre:[990.021]rot:nullMot:nullprox:[8.0]
time:241668708522Acc:[0.4747498, 3.613892, 8.8201]Gyro:nullMag:nullPre:[990.021]rot:nullMot:nullprox:[8.0]
time:244616925449Acc:[0.104622126, 4.424534, 8.305368]Gyro:[0.4884662, 0.14465307, 0.61556464]Mag:[20.765446, -17.460188, -133.93161]Pre:[989.97925]rot:[0.20288992, 0.05620503, 0.24891806, 0.9453658, 0.0]Mot:nullprox:[8.0]
time:244569478574Acc:[0.42686778, 4.7623415, 8.500487]Gyro:[0.4884662, 0.14465307, 0.61556464]Mag:[20.765446, -17.460188, -133.93161]Pre:[989.97925]rot:[0.20288992, 0.05620503, 0.24891806, 0.9453658, 0.0]Mot:nullprox:[8.0]
time:244405101230Acc:[0.42686778, 4.7623415, 8.500487]Gyro:[0.4884662, 0.14465307, 0.61556464]Mag:[20.765446, -17.460188, -133.93161]Pre:[989.97925]rot:[0.22498104, 0.07037694, 0.3467497, 0.907852, 0.0]Mot:nullprox:[8.0]
time:244598486647Acc:[0.42686778, 4.7623415, 8.500487]Gyro:[-0.8382098, -0.52888644, -0.5915041]Mag:[20.765446, -17.460188, -133.93161]Pre:[989.97925]rot:[0.22498104, 0.07037694, 0.3467497, 0.907852, 0.0]Mot:nullprox:[8.0]
time:244716925449Acc:[0.42686778, 4.7623415, 8.500487]Gyro:[-0.8382098, -0.52888644, -0.5915041]Mag:[20.765446, -17.460188, -133.93161]Pre:[989.98413]rot:[0.22498104, 0.07037694, 0.3467497, 0.907852, 0.0]Mot:nullprox:[8.0]
time:244756500501Acc:[0.42686778, 4.7623415, 8.500487]Gyro:[-0.8382098, -0.52888644, -0.5915041]Mag:[16.207329, -12.143574, -135.46257]Pre:[989.98413]rot:[0.22498104, 0.07037694, 0.3467497, 0.907852, 0.0]Mot:nullprox:[8.0]
time:244816925449Acc:[0.42686778, 4.7623415, 8.500487]Gyro:[-0.8382098, -0.52888644, -0.5915041]Mag:[16.207329, -12.143574, -135.46257]Pre:[989.9885]rot:[0.22498104, 0.07037694, 0.3467497, 0.907852, 0.0]Mot:nullprox:[8.0]
time:244762863210Acc:[0.42950135, 3.565292, 9.662822]Gyro:[-0.8382098, -0.52888644, -0.5915041]Mag:[16.207329, -12.143574, -135.46257]Pre:[989.9885]rot:[0.22498104, 0.07037694, 0.3467497, 0.907852, 0.0]Mot:nullprox:[8.0]
time:244791870501Acc:[0.42950135, 3.565292, 9.662822]Gyro:[0.15395665, 0.092912816, -0.5224764]Mag:[16.207329, -12.143574, -135.46257]Pre:[989.9885]rot:[0.22498104, 0.07037694, 0.3467497, 0.907852, 0.0]Mot:nullprox:[8.0]
time:244598486647Acc:[0.42950135, 3.565292, 9.662822]Gyro:[0.15395665, 0.092912816, -0.5224764]Mag:[16.207329, -12.143574, -135.46257]Pre:[989.9885]rot:[0.17015925, 0.009236514, 0.27121353, 0.94731396, 0.0]Mot:nullprox:[8.0]
time:244916925449Acc:[0.42950135, 3.565292, 9.662822]Gyro:[0.15395665, 0.092912816, -0.5224764]Mag:[16.207329, -12.143574, -135.46257]Pre:[990.0032]rot:[0.17015925, 0.009236514, 0.27121353, 0.94731396, 0.0]Mot:nullprox:[8.0]
time:244956500501Acc:[0.42950135, 3.565292, 9.662822]Gyro:[0.15395665, 0.092912816, -0.5224764]Mag:[13.887257, -10.852081, -134.90498]Pre:[990.0032]rot:[0.17015925, 0.009236514, 0.27121353, 0.94731396, 0.0]Mot:nullprox:[8.0]
