time:790643479104174Acc:[0.7359314, 7.870941, 5.3546295]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:null
time:790281424020606Acc:[0.7359314, 7.870941, 5.3546295]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790643542795020Acc:[0.45819092, 8.076843, 5.431244]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790643606271583Acc:[0.67367554, 7.8565826, 5.7999573]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790643670846778Acc:[0.6880493, 7.8996735, 5.6515045]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790643734628516Acc:[0.71676636, 7.9188232, 5.5605316]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790643798410255Acc:[0.6688843, 7.957138, 5.550949]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790643819009620Acc:[0.6688843, 7.957138, 5.550949]Gyro:[-0.007461548, -0.0025939941, 0.007080078]Mag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790645631753760Acc:[0.6928253, 7.890091, 5.6275635]Gyro:[0.03126526, 0.0087890625, -0.020431519]Mag:[-30.010986, 12.356567, -39.564514]Pre:nullrot:[0.42652795, -0.17639573, -0.2692936, 0.8452452, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790645711587745Acc:[0.70240784, 7.937973, 5.617996]Gyro:[0.03126526, 0.0087890625, -0.020431519]Mag:[-30.010986, 12.356567, -39.564514]Pre:nullrot:[0.42652795, -0.17639573, -0.2692936, 0.8452452, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790645775338966Acc:[0.79338074, 7.957138, 5.565323]Gyro:[0.03126526, 0.0087890625, -0.020431519]Mag:[-30.010986, 12.356567, -39.564514]Pre:nullrot:[0.42652795, -0.17639573, -0.2692936, 0.8452452, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790645839120704Acc:[0.73114014, 7.928406, 5.541382]Gyro:[0.03126526, 0.0087890625, -0.020431519]Mag:[-30.010986, 12.356567, -39.564514]Pre:nullrot:[0.42652795, -0.17639573, -0.2692936, 0.8452452, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790645833169776Acc:[0.73114014, 7.928406, 5.541382]Gyro:[0.03126526, 0.0087890625, -0.020431519]Mag:[-30.535889, 12.5061035, -39.865112]Pre:nullrot:[0.42652795, -0.17639573, -0.2692936, 0.8452452, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790645833169776Acc:[0.73114014, 7.928406, 5.541382]Gyro:[0.03126526, 0.0087890625, -0.020431519]Mag:[-30.535889, 12.5061035, -39.865112]Pre:nullrot:[0.4249895, -0.17688969, -0.2688063, 0.8460716, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790645833169776Acc:[0.73114014, 7.928406, 5.541382]Gyro:[0.03112793, 0.00970459, -0.021591187]Mag:[-30.535889, 12.5061035, -39.865112]Pre:nullrot:[0.4249895, -0.17688969, -0.2688063, 0.8460716, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790645902902442Acc:[0.52523804, 7.952347, 5.550949]Gyro:[0.03112793, 0.00970459, -0.021591187]Mag:[-30.535889, 12.5061035, -39.865112]Pre:nullrot:[0.4249895, -0.17688969, -0.2688063, 0.8460716, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790645966653663Acc:[0.56832886, 7.914032, 5.7137604]Gyro:[0.03112793, 0.00970459, -0.021591187]Mag:[-30.535889, 12.5061035, -39.865112]Pre:nullrot:[0.4249895, -0.17688969, -0.2688063, 0.8460716, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790646030465919Acc:[0.506073, 7.8996735, 5.675461]Gyro:[0.03112793, 0.00970459, -0.021591187]Mag:[-30.535889, 12.5061035, -39.865112]Pre:nullrot:[0.4249895, -0.17688969, -0.2688063, 0.8460716, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
